id,name,icon,path,execution
samuel-estrategista,Samuel Estrategista,🎯,./agents/samuel-estrategista.agent.md,inline
bruno-benchmark,Bruno Benchmark,🔬,./agents/bruno-benchmark.agent.md,subagent
eva-estrutura,Eva Estrutura,🧬,./agents/eva-estrutura.agent.md,inline
nara-noticia,Nara Notícia,🔍,./agents/nara-noticia.agent.md,subagent
vitor-visual,Vitor Visual,🎨,./agents/vitor-visual.agent.md,subagent
iago-instagram,Iago Instagram,💡,./agents/iago-instagram.agent.md,inline
leo-legenda,Léo Legenda,✍️,./agents/leo-legenda.agent.md,inline
diana-design,Diana Design,🖼️,./agents/diana-design.agent.md,inline
renata-revisao,Renata Revisão,✅,./agents/renata-revisao.agent.md,inline
pedro-performance,Pedro Performance,📊,./agents/pedro-performance.agent.md,inline
